"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 13:09:49","2025-11-27 13:09:50","57.00","-0.3338683333333333","-78.43692444444444"
"2025-11-27 13:09:54","2025-11-27 13:09:55","52.00","-0.33401","-78.43761777777777"
"2025-11-27 13:09:59","2025-11-27 13:10:00","41.00","-0.3339638888888889","-78.43822222222222"
"2025-11-27 13:10:04","2025-11-27 13:10:05","38.00","-0.33392333333333335","-78.43873777777777"
"2025-11-27 13:10:09","2025-11-27 13:10:10","21.00","-0.33387666666666665","-78.43916444444444"
"2025-11-27 13:10:14","2025-11-27 13:10:15","23.00","-0.3338738888888889","-78.4393688888889"
"2025-11-27 13:10:19","2025-11-27 13:10:20","34.00","-0.33386055555555555","-78.43980444444445"
"2025-11-27 13:10:24","2025-11-27 13:10:25","16.00","-0.33383833333333335","-78.44007111111111"
"2025-11-27 13:10:29","2025-11-27 13:10:30","21.00","-0.33377666666666667","-78.44031111111111"
"2025-11-27 13:10:33","2025-11-27 13:10:34","26.00","-0.3338116666666667","-78.44053333333333"
"2025-11-27 13:10:34","2025-11-27 13:10:35","27.00","-0.33384833333333336","-78.44058666666666"
"2025-11-27 13:10:39","2025-11-27 13:10:40","9.00","-0.33401","-78.44078222222223"
"2025-11-27 13:10:49","2025-11-27 13:10:50","9.00","-0.3339977777777778","-78.44083555555555"
"2025-11-27 13:10:54","2025-11-27 13:10:55","13.00","-0.33393555555555554","-78.44099555555556"
"2025-11-27 13:10:59","2025-11-27 13:11:00","11.00","-0.3338738888888889","-78.44111111111111"
"2025-11-27 13:11:29","2025-11-27 13:11:30","0","-0.333825","-78.44125333333334"
"2025-11-27 13:11:44","2025-11-27 13:11:45","10.00","-0.33381555555555553","-78.44129777777778"
"2025-11-27 13:11:49","2025-11-27 13:11:50","15.00","-0.33379444444444445","-78.44147555555556"
"2025-11-27 13:11:53","2025-11-27 13:11:54","18.00","-0.3339261111111111","-78.44155555555555"
"2025-11-27 13:11:54","2025-11-27 13:11:55","19.00","-0.333975","-78.44156444444444"
"2025-11-27 13:11:59","2025-11-27 13:12:00","30.00","-0.334315","-78.44169777777778"
"2025-11-27 13:12:04","2025-11-27 13:12:05","32.00","-0.33469944444444444","-78.44187555555555"
"2025-11-27 13:12:09","2025-11-27 13:12:10","17.00","-0.3349816666666667","-78.44201777777778"
"2025-11-27 13:12:23","2025-11-27 13:12:24","0","-0.3349916666666667","-78.44204444444445"
"2025-11-27 13:13:19","2025-11-27 13:13:21","8.00","-0.33512166666666665","-78.44203555555555"
"2025-11-27 13:13:24","2025-11-27 13:13:25","31.00","-0.3353494444444444","-78.44212444444445"
"2025-11-27 13:13:29","2025-11-27 13:13:30","34.00","-0.3357088888888889","-78.44230222222222"
"2025-11-27 13:13:34","2025-11-27 13:13:35","48.00","-0.3361088888888889","-78.44263111111111"
"2025-11-27 13:13:39","2025-11-27 13:13:40","46.00","-0.3365211111111111","-78.44308444444444"
"2025-11-27 13:13:44","2025-11-27 13:13:45","39.00","-0.33688833333333335","-78.44349333333334"
"2025-11-27 13:13:49","2025-11-27 13:13:50","32.00","-0.3371972222222222","-78.44384"
"2025-11-27 13:13:54","2025-11-27 13:13:55","16.00","-0.3373994444444444","-78.44408888888888"
"2025-11-27 13:13:59","2025-11-27 13:14:00","9.00","-0.33746166666666666","-78.44418666666667"
"2025-11-27 13:14:04","2025-11-27 13:14:05","17.00","-0.33758166666666667","-78.44430222222222"
"2025-11-27 13:14:09","2025-11-27 13:14:10","29.00","-0.33778833333333336","-78.44456"
"2025-11-27 13:14:14","2025-11-27 13:14:16","28.00","-0.33804666666666666","-78.44483555555556"
"2025-11-27 13:14:34","2025-11-27 13:14:36","21.00","-0.3382822222222222","-78.44519111111111"
"2025-11-27 13:14:39","2025-11-27 13:14:40","36.00","-0.33853333333333335","-78.44547555555556"
"2025-11-27 13:14:44","2025-11-27 13:14:45","43.00","-0.33888","-78.44589333333333"
"2025-11-27 13:14:49","2025-11-27 13:14:50","50.00","-0.33929944444444443","-78.44636444444444"
"2025-11-27 13:14:54","2025-11-27 13:14:55","40.00","-0.3396883333333333","-78.44682666666667"
"2025-11-27 13:15:14","2025-11-27 13:15:15","25.00","-0.33996","-78.44721777777778"
"2025-11-27 13:15:19","2025-11-27 13:15:20","39.00","-0.34020222222222224","-78.44755555555555"
"2025-11-27 13:15:24","2025-11-27 13:15:25","46.00","-0.34047777777777777","-78.44802666666666"
"2025-11-27 13:15:29","2025-11-27 13:15:30","61.00","-0.3408088888888889","-78.44862222222223"
"2025-11-27 13:15:34","2025-11-27 13:15:35","61.00","-0.34119","-78.44930666666667"
"2025-11-27 13:15:39","2025-11-27 13:15:40","63.00","-0.34158055555555555","-78.44999111111112"
"2025-11-27 13:15:44","2025-11-27 13:15:45","67.00","-0.3419788888888889","-78.4507111111111"
"2025-11-27 13:15:49","2025-11-27 13:15:50","67.00","-0.3423711111111111","-78.45146666666666"
"2025-11-27 13:15:54","2025-11-27 13:15:55","64.00","-0.3427705555555556","-78.45220444444445"
"2025-11-27 13:15:59","2025-11-27 13:16:00","61.00","-0.34315444444444443","-78.45292444444445"
"2025-11-27 13:16:04","2025-11-27 13:16:05","49.00","-0.34347333333333335","-78.45353777777778"
"2025-11-27 13:16:09","2025-11-27 13:16:11","40.00","-0.34374666666666664","-78.45403555555555"
"2025-11-27 13:16:14","2025-11-27 13:16:16","30.00","-0.34394277777777776","-78.4544"
"2025-11-27 13:16:19","2025-11-27 13:16:21","7.00","-0.34406944444444443","-78.45467555555555"
"2025-11-27 13:16:29","2025-11-27 13:16:30","10.00","-0.34408666666666665","-78.45469333333334"
"2025-11-27 13:16:34","2025-11-27 13:16:35","31.00","-0.3442138888888889","-78.45495111111111"
"2025-11-27 13:16:39","2025-11-27 13:16:40","33.00","-0.34442222222222224","-78.45533333333333"
"2025-11-27 13:16:44","2025-11-27 13:16:45","13.00","-0.34457","-78.45560888888889"
"2025-11-27 13:17:09","2025-11-27 13:17:10","20.00","-0.3446533333333333","-78.45578666666667"
"2025-11-27 13:17:14","2025-11-27 13:17:15","34.00","-0.3448361111111111","-78.45610666666667"
"2025-11-27 13:17:19","2025-11-27 13:17:20","39.00","-0.3450783333333333","-78.45653333333334"
"2025-11-27 13:17:24","2025-11-27 13:17:25","38.00","-0.34530777777777777","-78.45697777777778"
"2025-11-27 13:17:29","2025-11-27 13:17:30","33.00","-0.3455172222222222","-78.45737777777778"
"2025-11-27 13:17:34","2025-11-27 13:17:35","42.00","-0.34572555555555556","-78.45780444444445"
"2025-11-27 13:17:39","2025-11-27 13:17:40","36.00","-0.34595611111111113","-78.45823111111112"
"2025-11-27 13:17:44","2025-11-27 13:17:46","34.00","-0.34615833333333335","-78.45862222222222"
"2025-11-27 13:17:49","2025-11-27 13:17:50","36.00","-0.3463627777777778","-78.45899555555556"
"2025-11-27 13:17:54","2025-11-27 13:17:55","46.00","-0.3466177777777778","-78.45944888888889"
"2025-11-27 13:17:59","2025-11-27 13:18:00","46.00","-0.34692833333333334","-78.45994666666667"
